,0,crimeVar1,crimeVar2,crimeVar3,crimeVar4,crimeVar5,crimeVar6,crimeVar7,crimeVar8,crimeVar9,geodemVar1,geodemVar10,geodemVar11,geodemVar12,geodemVar13,geodemVar14,geodemVar15,geodemVar16,geodemVar17,geodemVar18,geodemVar19,geodemVar2,geodemVar20,geodemVar21,geodemVar22,geodemVar23,geodemVar24,geodemVar25,geodemVar26,geodemVar27,geodemVar28,geodemVar29,geodemVar3,geodemVar30,geodemVar31,geodemVar32,geodemVar33,geodemVar34,geodemVar35,geodemVar36,geodemVar37,geodemVar4,geodemVar5,geodemVar6,geodemVar7,geodemVar8,geodemVar9,var1,var10,var12,var13,var14,var15,var16,var17,var2,var3,var4,var5,var6,var7,var8,var9,weatherVar1,weatherVar10,weatherVar100,weatherVar101,weatherVar102,weatherVar103,weatherVar104,weatherVar105,weatherVar106,weatherVar107,weatherVar108,weatherVar109,weatherVar11,weatherVar110,weatherVar111,weatherVar112,weatherVar113,weatherVar114,weatherVar115,weatherVar116,weatherVar117,weatherVar118,weatherVar119,weatherVar12,weatherVar120,weatherVar121,weatherVar122,weatherVar123,weatherVar124,weatherVar125,weatherVar126,weatherVar127,weatherVar128,weatherVar129,weatherVar13,weatherVar130,weatherVar131,weatherVar132,weatherVar133,weatherVar134,weatherVar135,weatherVar136,weatherVar137,weatherVar138,weatherVar139,weatherVar14,weatherVar140,weatherVar141,weatherVar142,weatherVar143,weatherVar144,weatherVar145,weatherVar146,weatherVar147,weatherVar148,weatherVar149,weatherVar15,weatherVar150,weatherVar151,weatherVar152,weatherVar153,weatherVar154,weatherVar155,weatherVar156,weatherVar157,weatherVar158,weatherVar159,weatherVar16,weatherVar160,weatherVar161,weatherVar162,weatherVar163,weatherVar164,weatherVar165,weatherVar166,weatherVar167,weatherVar168,weatherVar169,weatherVar17,weatherVar170,weatherVar171,weatherVar172,weatherVar173,weatherVar174,weatherVar175,weatherVar176,weatherVar177,weatherVar178,weatherVar179,weatherVar18,weatherVar180,weatherVar181,weatherVar182,weatherVar183,weatherVar184,weatherVar185,weatherVar186,weatherVar187,weatherVar188,weatherVar189,weatherVar19,weatherVar190,weatherVar191,weatherVar192,weatherVar193,weatherVar194,weatherVar195,weatherVar196,weatherVar197,weatherVar198,weatherVar199,weatherVar2,weatherVar20,weatherVar200,weatherVar201,weatherVar202,weatherVar203,weatherVar204,weatherVar205,weatherVar206,weatherVar207,weatherVar208,weatherVar209,weatherVar21,weatherVar210,weatherVar211,weatherVar212,weatherVar213,weatherVar214,weatherVar215,weatherVar216,weatherVar217,weatherVar218,weatherVar219,weatherVar22,weatherVar220,weatherVar221,weatherVar222,weatherVar223,weatherVar224,weatherVar225,weatherVar226,weatherVar227,weatherVar228,weatherVar229,weatherVar23,weatherVar230,weatherVar231,weatherVar232,weatherVar233,weatherVar234,weatherVar235,weatherVar236,weatherVar24,weatherVar25,weatherVar26,weatherVar27,weatherVar28,weatherVar29,weatherVar3,weatherVar30,weatherVar31,weatherVar32,weatherVar33,weatherVar34,weatherVar35,weatherVar36,weatherVar37,weatherVar38,weatherVar39,weatherVar4,weatherVar40,weatherVar41,weatherVar42,weatherVar43,weatherVar44,weatherVar45,weatherVar46,weatherVar47,weatherVar48,weatherVar49,weatherVar5,weatherVar50,weatherVar51,weatherVar52,weatherVar53,weatherVar54,weatherVar55,weatherVar56,weatherVar57,weatherVar58,weatherVar59,weatherVar6,weatherVar60,weatherVar61,weatherVar62,weatherVar63,weatherVar64,weatherVar65,weatherVar66,weatherVar67,weatherVar68,weatherVar69,weatherVar7,weatherVar70,weatherVar71,weatherVar72,weatherVar73,weatherVar74,weatherVar75,weatherVar76,weatherVar77,weatherVar78,weatherVar79,weatherVar8,weatherVar80,weatherVar81,weatherVar82,weatherVar83,weatherVar84,weatherVar85,weatherVar86,weatherVar87,weatherVar88,weatherVar89,weatherVar9,weatherVar90,weatherVar91,weatherVar92,weatherVar93,weatherVar94,weatherVar95,weatherVar96,weatherVar97,weatherVar98,weatherVar99
1,3504.6653193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,561.37955075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2352.0454928000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,504.97524692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1402.8542332999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1003.0697882000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1564.6085772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,954.96073218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,1.7947603127,0.9368085206,0.7462013681,1.0971755754,1.2153524919,2.2422426565999998,1.0736538195,1.5959773593000002,1.6641002477000002,0.452287557,0.4208510358,0.45323200700000005,0.177525935,0.7303295371999999,1.5584650384,0.9716712990999999,1.0625625205,0.46422295350000004,0.33775801340000006,1.4917514962,1.1941906372,0.2333009757,0.4272386533,1.2303694081,1.2972183651,0.97884262,0.5774536993,0.4553478553,0.4741800386,0.4317489592,4.3755702544,1.1536196383,0.3942567325,0.724969849,0.4225137718,0.5463607213,1.1479197536,0.4396966385,0.43208065549999997,0.6821629829000001,1.2065291329,1.4939091628999999,0.481052131,0.9183985119,0.4708214002,0.9618099704,2.0,4.1712143911,-1.0,1.048147074,-1.0,38.0,-1.0,100.0,0.0,1.0,10.0,1.0,1.0,2.0,1.0,0.0,0.5983808897,0.7283740935999999,1.0197595178,0.4223027609,0.0,0.0,0.4414861553,0.9569281067000001,0.9110347656000001,1.0104288879,0.6934903897,0.9339700858,0.6401047019,0.600812394,0.5277127318,1.0311430492,13.656476332999999,1.258265916,0.0,1.0242650415999999,0.0808307783,0.0,0.8299133920999999,0.7917226401,0.5592701446,1.0322995067,1.0188365878,1.0461548664,0.9038634165,13.685900848,1.2549723296,0.9034937578,0.8857920856,0.0,2.4847540748,0.6762560393000001,0.1512776142,0.7410396320999999,0.783542918,1.0205307601,0.6733109835,0.6462608476,0.529867926,0.0,1.025493913,1.0007553341,0.8870248909999999,0.6528066934000001,0.4295151099,0.8855295058,0.0,0.0,0.9946798308,0.1122221548,1.3374531286,0.0636406222,1.0336138598,1.0214167993,0.0,0.0,0.7923196408,0.0,0.7328246534,6.244634940399999,0.9833442654000001,1.0157188153,1.0047815159,0.9324364301000001,0.1320611716,1.3374615104,0.0964910347,0.9037406084,0.9333782612999999,0.0,0.2444590434,0.0,0.2555730008,0.0,1.6986348938,1.0212615125,0.2467496488,0.0,0.0,0.5095534795000001,1.010253847,0.8555945365000001,0.8249968983,0.4623652526,0.86596369,1.211750117,0.2539572059,1.0350290522,1.1312118039,0.8904995614,0.4409770043,0.9123696620999999,1.1137910245,0.7742163633,1.087735578,0.8362091137000001,1.5046363025999998,1.0370592055,1.0537515485,1.0545163011,1.0112300448,0.9983319682999999,1.0208627163,1.0934833553,1.1607048537,1.1005801234,0.5767631119,2.7301348276999997,0.9401670279000001,0.1701697447,0.0,0.0,0.0,0.9349214838,0.8172650966,0.5516855519,0.2565393412,5.83556e-05,1.246541761,0.9026143890999999,0.0,0.0,0.0834344346,1.0109476863,0.9328275318000001,0.9351225318999999,0.9523274356,2.2092419168,0.5491263092,0.0,1.1018769098999999,0.0,1.1446885748,0.7300399170999999,0.0,0.0,1.6108650327,1.1912495735,1.6609196578,0.0,0.0,0.6526068786,0.1345281253,0.2912613342,0.8189992931,2.0911041416,0.42831580539999997,0.7515023832,0.3518444971,0.48551085520000004,0.5003469834000001,0.5208247306,1.0214309377,0.6548794306,2.0602918227,1.0146396939,1.6848292893999999,0.3990618783,1.0130605448999999,0.8147329247,0.7845836772,0.6772095654000001,0.7305809651999999,0.509885528,0.9137751162000001,0.0,2.007871021,1.004416118,0.009646606700000001,1.1906141701000001,0.0264444251,0.9865765767,0.8830138255,0.0,0.7850991981000001,0.962953561,0.851504596,1.2197615197,0.2893893028,0.9966008567,1.0160104617,1.1339694481,0.0251802852,1.1643622225,0.05998806,0.9577232018999999,0.9736692091,0.2619497086,3.9880498352999996,0.6797643329999999,0.052025464199999996,0.22982054670000002,2.0902967513,1.0204503968,0.6847727167000001,0.0,0.0,0.19318520449999999,0.9993428591,1.0048358481,0.880046655,0.8524227290999999,0.69712654,0.9176753670000001,0.23150856109999998,0.3612291418,0.9782964097,0.4906099672,1.0822746952,0.978705495,0.4719416006,0.87457937,3.349295249,0.0,0.5839189562,0.3980308271,0.49966793600000003,5.4321422273,0.9620292877,1.0100480246999999,0.7645042121,0.0,0.4060509779,1.0687272906999998,0.8760992465,0.9264979641,0.8210471684,2.8858855828,0.4281501343,0.43317297369999996,0.5915752159000001,0.52868743
1,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0562475785,0.0601225691,0.0648166232,1.5053706364,0.0373836315,0.5507780225,0.0481009848,1.0871588751,0.0724849833,0.4321674822,0.9357392973,0.8281920412,0.2134209389,0.049875234299999995,0.9364959114,0.8532541919,0.97884262,0.06574239230000001,0.066299658,0.0606152476,0.0784894297,-0.37438034299999995,0.6985586045000001,0.7727431958,0.5097444251,0.0433831703,0.0746815073,1.0839824923,0.056673593,0.0,1.0978560506000001,0.8556105289,0.04321650269999999,0.0508727826,1.1146375102,0.0816758621,0.9618099704,2.0,4.0399302587,-1.0,1.7001093369999998,-1.0,9.0,-1.0,93.623765923,0.0,1.0,11.0,1.0,1.0,4.0,3.0,0.0,0.2358729358,0.9121172555,0.9954833573999999,0.7074824972,0.0,0.0,2.3315788443,0.7774289312,1.1407013927,1.3895055229,1.1093388070999999,1.3729805986,0.021218274900000004,2.0453086941,0.0,0.9700260288,0.0,1.0177631967,0.0,0.9844686421,0.0,0.0,0.8449495214,1.1125446828,0.0,1.0193262238,0.9779983103000001,0.95851558,1.5295737186000002,0.0,1.0299881204,1.2057198313,1.2467924318,0.0,0.0596924086,1.1874560887999999,0.0,0.0,1.665745465,0.9972868145999999,1.1804549347,0.0,0.0,0.0,0.9831795283,0.9186185882,1.0189224687,1.2829981436,1.5202840732,1.1220405749,0.0,0.0,0.9192423812999999,0.0,0.8223283259,0.1106242241,0.9057729765000001,0.9314064418000001,0.0,0.0,0.8074547509000001,0.0,0.9673155349,0.6830048664,0.9277339162999999,0.9084422595999999,1.4071359703,1.6578844165,0.0,0.8268624240000001,0.1677269089,1.2616710311,1.2547054254999999,0.0,0.7091480742,0.0,0.9724511562999999,0.7526250441,1.7863875257,0.9970737787999999,0.711162741,0.0,0.0,1.2356026008,0.9292726028,1.1202744167,1.3856928371000001,1.8159802163999998,1.2744134752,0.9448316981999999,0.9663030828,0.7204613991,0.6809970726000001,1.2435401858,3.5983723549,1.4065698958000001,1.0349385626,1.4293225169,0.9755276176000001,1.0524554987999999,1.1178536962,0.9218510515,0.7830689204000001,0.9885248595,0.9214695216,0.7911950633,0.9777603984000001,0.9319778214,0.7691585584999999,1.0037483106,0.6446175957,0.0,1.2454940876,0.9054435197,0.0,0.0,0.013715528000000001,0.9047627263,0.7132185681000001,0.0,0.0,0.0068859662,0.3835513111,1.3147412377,0.0,0.0,0.8137298559,1.9037347773,2.1870622923,2.2623932223,0.7588193129999999,0.5307787488,3.4320394326,0.0,0.06776886900000001,0.0,2.1197936569999998,1.4600798343,0.0,0.0,0.9204943044,0.8593544674,0.9901636422,0.0,0.0,1.2005290692,0.0,0.272525225,0.7299238413,0.9733920723,0.21415790269999999,0.2312315025,0.1963789382,0.4474746679,2.0053870723,1.1126277305,0.9974058687999999,1.2044027294,0.0,0.9137001173,0.0,1.9777085886,0.9284593983,1.0738960958,1.302785147,1.4780160568,1.2511861009,1.9998949642,0.7635445368000001,0.0,1.0904407381999999,0.9233668319,0.0,1.065058471,0.0,0.932238958,0.0,0.0,0.8592187511,0.0533660919,0.9824937225,0.9399951123,0.0,0.9336337266,0.9057398970999999,1.5738513092,0.0,1.0714431484,0.0,1.3821804807,1.2794965623,0.0,0.2998835606,1.4525747522,1.3491075094999998,1.3194853828,0.0,0.9966295387,1.4450170181,0.0,0.0,0.7494240525,0.9308952221,0.9407073944,1.0505740017,1.2999646863,1.3470259036,1.2653705785,1.3138227582,0.0,0.7501549355,1.8811268784000001,0.811521637,0.9906182290000001,0.0,0.8000454042,0.0,0.0,0.9185257075,0.0,1.2209144084,0.048588459400000006,0.761256851,0.7254768246,2.0169942797,0.0,2.4977961012,0.8133703749,1.6409803826,1.2041397056999998,1.4570803237999999,0.0,0.6754751179,0.0,2.0485088961,0.17973538809999998
